Variable name,Time in Play,Data Point
Player Position,0:2.98,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:2.98,100
Player Position,0:6.00,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:6.00,100
Player Position,0:9.25,World Position: (105.08, -0.12, 71.08)
PlayerHealth,0:9.25,100
Player Position,0:12.26,World Position: (106.24, 0.18, 71.75)
PlayerHealth,0:12.26,100
Player Position,0:15.26,World Position: (108.02, 0.18, 76.18)
PlayerHealth,0:15.26,50
Player Position,0:18.28,World Position: (105.57, 0.18, 75.06)
PlayerHealth,0:18.28,50
Player Position,0:21.29,World Position: (97.52, 0.18, 66.86)
PlayerHealth,0:21.29,50
Player Position,0:24.31,World Position: (97.45, 0.18, 59.69)
PlayerHealth,0:24.31,50
Sonar Pulse Triggered,0:24.42,World Position Trigger Point: (99.90, 0.39, 58.64)Sonar Pulse: 1
Sonar Scanner Clicked,0:24.52,World Position Trigger Point: (98.78, 0.18, 58.36)Sonar Scanner: 1
Sonar Pulse Triggered,0:26.03,World Position Trigger Point: (102.60, 0.39, 54.14)Sonar Pulse: 2
Sonar Scanner Clicked,0:26.08,World Position Trigger Point: (101.18, 0.18, 53.64)Sonar Scanner: 2
Player Position,0:27.31,World Position: (95.03, 0.18, 57.76)
PlayerHealth,0:27.31,50
Sonar Pulse Triggered,0:27.51,World Position Trigger Point: (95.37, 0.39, 59.09)Sonar Pulse: 3
Sonar Scanner Clicked,0:27.58,World Position Trigger Point: (93.84, 0.18, 58.95)Sonar Scanner: 3
Sonar Pulse Triggered,0:28.98,World Position Trigger Point: (90.32, 0.39, 58.71)Sonar Pulse: 4
Sonar Scanner Clicked,0:29.04,World Position Trigger Point: (88.95, 0.18, 58.86)Sonar Scanner: 4
Player Position,0:30.32,World Position: (93.85, 0.18, 56.93)
PlayerHealth,0:30.32,50
Sonar Pulse Triggered,0:30.52,World Position Trigger Point: (95.95, 0.39, 57.36)Sonar Pulse: 5
Sonar Scanner Clicked,0:30.57,World Position Trigger Point: (94.66, 0.18, 56.93)Sonar Scanner: 5
Player Position,0:30.88,World Position: (94.74, 0.18, 56.93)
PlayerHealth,0:30.88,0
