Variable name,Time in Play,Data Point
Player Position,0:2.99,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:2.99,100
Player Position,0:6.00,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:6.00,100
Player Position,0:9.01,World Position: (-16.15, -2.92, -67.26)
PlayerHealth,0:9.01,100
Player Position,0:12.01,World Position: (-11.13, -1.92, -65.54)
PlayerHealth,0:12.01,100
Player Position,0:15.03,World Position: (11.44, -1.92, -43.60)
PlayerHealth,0:15.03,100
Sonar Pulse Triggered,0:17.99,World Position Trigger Point: (37.91, -1.87, -23.06)Sonar Pulse: 1
Player Position,0:18.04,World Position: (36.75, -2.08, -23.36)
PlayerHealth,0:18.04,100
Sonar Scanner Clicked,0:18.06,World Position Trigger Point: (36.84, -2.08, -23.36)Sonar Scanner: 1
Player Position,0:21.06,World Position: (58.88, 0.51, -8.28)
PlayerHealth,0:21.06,100
Sonar Pulse Triggered,0:21.90,World Position Trigger Point: (62.75, 0.72, -1.10)Sonar Pulse: 2
Sonar Scanner Clicked,0:21.96,World Position Trigger Point: (61.66, 0.51, -1.05)Sonar Scanner: 2
Player Position,0:24.06,World Position: (75.84, 0.51, 23.37)
PlayerHealth,0:24.06,100
Player Position,0:27.08,World Position: (82.67, 3.68, 37.33)
PlayerHealth,0:27.08,100
Sonar Pulse Triggered,0:29.21,World Position Trigger Point: (94.32, 0.39, 57.93)Sonar Pulse: 3
Sonar Scanner Clicked,0:29.25,World Position Trigger Point: (92.96, 0.18, 57.90)Sonar Scanner: 3
Player Position,0:30.10,World Position: (94.82, 0.18, 58.45)
PlayerHealth,0:30.10,100
Sonar Pulse Triggered,0:31.11,World Position Trigger Point: (101.48, 0.39, 62.96)Sonar Pulse: 4
Sonar Scanner Clicked,0:31.19,World Position Trigger Point: (100.19, 0.18, 63.24)Sonar Scanner: 4
Sonar Pulse Triggered,0:33.03,World Position Trigger Point: (103.26, 0.39, 67.52)Sonar Pulse: 5
Sonar Scanner Clicked,0:33.10,World Position Trigger Point: (101.83, 0.18, 67.45)Sonar Scanner: 5
Player Position,0:33.10,World Position: (101.83, 0.18, 67.45)
PlayerHealth,0:33.10,100
Sonar Pulse Triggered,0:34.87,World Position Trigger Point: (108.33, 0.39, 75.08)Sonar Pulse: 6
Sonar Scanner Clicked,0:34.95,World Position Trigger Point: (107.28, 0.18, 74.37)Sonar Scanner: 6
Player Position,0:36.16,World Position: (100.99, 0.18, 86.56)
PlayerHealth,0:36.16,100
Player Position,0:39.16,World Position: (101.29, 0.18, 86.49)
PlayerHealth,0:39.16,50
Player Position,0:42.17,World Position: (86.52, 0.18, 97.90)
PlayerHealth,0:42.17,50
Player Position,0:43.87,World Position: (92.95, 0.18, 104.33)
PlayerHealth,0:43.87,50
